,edges,infection_time
272,324.0 (interacts with) 68.0,10
273,373.0 (interacts with) 353.0,9
274,373.0 (interacts with) 60.0,10
275,275.0 (interacts with) 199.0,8
276,275.0 (interacts with) 290.0,8
277,238.0 (interacts with) 237.0,11
278,238.0 (interacts with) 304.0,-1
279,108.0 (interacts with) 202.0,-1
280,108.0 (interacts with) 65.0,-1
281,108.0 (interacts with) 271.0,9
282,108.0 (interacts with) 207.0,-1
283,108.0 (interacts with) 246.0,-1
284,200.0 (interacts with) 202.0,-1
285,59.0 (interacts with) 60.0,11
286,172.0 (interacts with) 17.0,-1
287,172.0 (interacts with) 325.0,11
288,172.0 (interacts with) 347.0,11
289,172.0 (interacts with) 353.0,-1
290,172.0 (interacts with) 310.0,10
291,236.0 (interacts with) 47.0,9
292,236.0 (interacts with) 239.0,10
293,236.0 (interacts with) 257.0,-1
294,236.0 (interacts with) 40.0,9
295,236.0 (interacts with) 38.0,10
296,236.0 (interacts with) 375.0,10
297,236.0 (interacts with) 163.0,10
298,289.0 (interacts with) 169.0,10
299,227.0 (interacts with) 106.0,11
300,44.0 (interacts with) 51.0,-1
301,44.0 (interacts with) 195.0,-1
302,44.0 (interacts with) 271.0,8
303,44.0 (interacts with) 350.0,7
304,51.0 (interacts with) 259.0,-1
305,51.0 (interacts with) 50.0,-1
306,51.0 (interacts with) 30.0,-1
307,51.0 (interacts with) 32.0,2
308,51.0 (interacts with) 76.0,-1
309,51.0 (interacts with) 307.0,-1
310,51.0 (interacts with) 322.0,-1
311,51.0 (interacts with) 337.0,-1
312,51.0 (interacts with) 352.0,3
313,51.0 (interacts with) 331.0,-1
314,51.0 (interacts with) 120.0,3
315,51.0 (interacts with) 321.0,-1
316,51.0 (interacts with) 362.0,3
317,51.0 (interacts with) 57.0,3
318,195.0 (interacts with) 100.0,11
319,195.0 (interacts with) 160.0,-1
320,195.0 (interacts with) 110.0,-1
321,271.0 (interacts with) 13.0,8
322,271.0 (interacts with) 150.0,9
323,350.0 (interacts with) 68.0,-1
324,350.0 (interacts with) 228.0,-1
325,350.0 (interacts with) 72.0,6
326,350.0 (interacts with) 349.0,7
327,350.0 (interacts with) 351.0,-1
328,113.0 (interacts with) 114.0,-1
329,113.0 (interacts with) 135.0,5
330,113.0 (interacts with) 136.0,6
331,113.0 (interacts with) 189.0,-1
332,113.0 (interacts with) 312.0,-1
333,113.0 (interacts with) 354.0,5
334,113.0 (interacts with) 355.0,-1
335,113.0 (interacts with) 129.0,-1
336,113.0 (interacts with) 196.0,-1
337,113.0 (interacts with) 142.0,6
338,113.0 (interacts with) 318.0,-1
339,113.0 (interacts with) 144.0,5
340,113.0 (interacts with) 160.0,6
341,113.0 (interacts with) 126.0,-1
342,113.0 (interacts with) 178.0,6
343,114.0 (interacts with) 34.0,-1
344,114.0 (interacts with) 276.0,9
345,114.0 (interacts with) 112.0,-1
346,114.0 (interacts with) 211.0,-1
347,114.0 (interacts with) 142.0,-1
348,135.0 (interacts with) 7.0,-1
349,135.0 (interacts with) 189.0,5
350,135.0 (interacts with) 287.0,5
351,135.0 (interacts with) 317.0,-1
352,135.0 (interacts with) 352.0,4
353,135.0 (interacts with) 210.0,-1
354,135.0 (interacts with) 143.0,5
355,189.0 (interacts with) 10.0,-1
356,354.0 (interacts with) 126.0,5
357,354.0 (interacts with) 352.0,4
358,354.0 (interacts with) 353.0,-1
359,354.0 (interacts with) 355.0,-1
360,354.0 (interacts with) 356.0,-1
361,355.0 (interacts with) 145.0,10
362,355.0 (interacts with) 353.0,-1
363,129.0 (interacts with) 334.0,-1
364,129.0 (interacts with) 170.0,9
365,142.0 (interacts with) 223.0,-1
366,318.0 (interacts with) 284.0,11
367,318.0 (interacts with) 320.0,10
368,144.0 (interacts with) 67.0,4
369,144.0 (interacts with) 143.0,5
370,160.0 (interacts with) 63.0,-1
371,160.0 (interacts with) 162.0,-1
372,160.0 (interacts with) 71.0,-1
373,126.0 (interacts with) 127.0,-1
374,126.0 (interacts with) 356.0,5
375,126.0 (interacts with) 119.0,6
376,178.0 (interacts with) 194.0,-1
377,178.0 (interacts with) 97.0,-1
378,130.0 (interacts with) 46.0,9
379,130.0 (interacts with) 30.0,-1
380,130.0 (interacts with) 348.0,8
381,130.0 (interacts with) 132.0,9
382,130.0 (interacts with) 185.0,-1
383,133.0 (interacts with) 231.0,7
384,133.0 (interacts with) 91.0,-1
385,133.0 (interacts with) 92.0,-1
386,133.0 (interacts with) 224.0,8
387,134.0 (interacts with) 46.0,10
388,134.0 (interacts with) 182.0,11
389,134.0 (interacts with) 92.0,10
390,134.0 (interacts with) 186.0,10
391,268.0 (interacts with) 231.0,7
392,268.0 (interacts with) 21.0,8
393,268.0 (interacts with) 233.0,8
394,145.0 (interacts with) 23.0,-1
395,145.0 (interacts with) 194.0,9
396,145.0 (interacts with) 123.0,9
397,216.0 (interacts with) 334.0,9
398,216.0 (interacts with) 32.0,-1
399,119.0 (interacts with) 199.0,7
400,119.0 (interacts with) 73.0,7
401,119.0 (interacts with) 120.0,-1
402,119.0 (interacts with) 348.0,7
403,119.0 (interacts with) 171.0,7
404,119.0 (interacts with) 84.0,7
405,119.0 (interacts with) 290.0,7
406,321.0 (interacts with) 320.0,-1
407,225.0 (interacts with) 237.0,10
408,225.0 (interacts with) 86.0,-1
409,225.0 (interacts with) 224.0,9
410,250.0 (interacts with) 170.0,-1
411,250.0 (interacts with) 95.0,-1
412,250.0 (interacts with) 107.0,-1
413,250.0 (interacts with) 67.0,4
414,250.0 (interacts with) 241.0,-1
415,170.0 (interacts with) 343.0,9
416,170.0 (interacts with) 169.0,9
417,170.0 (interacts with) 266.0,-1
418,170.0 (interacts with) 364.0,-1
419,170.0 (interacts with) 246.0,9
420,170.0 (interacts with) 66.0,-1
421,170.0 (interacts with) 148.0,9
422,170.0 (interacts with) 121.0,8
423,95.0 (interacts with) 14.0,-1
424,95.0 (interacts with) 127.0,-1
425,95.0 (interacts with) 96.0,-1
426,95.0 (interacts with) 179.0,-1
427,95.0 (interacts with) 180.0,-1
428,95.0 (interacts with) 286.0,-1
429,95.0 (interacts with) 308.0,-1
430,95.0 (interacts with) 337.0,-1
431,95.0 (interacts with) 339.0,-1
432,95.0 (interacts with) 265.0,8
433,95.0 (interacts with) 315.0,-1
434,95.0 (interacts with) 253.0,9
435,95.0 (interacts with) 117.0,9
436,95.0 (interacts with) 284.0,-1
437,95.0 (interacts with) 282.0,-1
438,95.0 (interacts with) 255.0,-1
439,107.0 (interacts with) 13.0,-1
440,107.0 (interacts with) 14.0,9
441,107.0 (interacts with) 106.0,10
