infected_nodes,name,nb,selected,shared name
8,150,0.171980681,FALSE,150
11,377,0.099693475,FALSE,377
8,342,0.099919701,FALSE,342
5,312,0.094441885,FALSE,312
7,167,0.15932305,FALSE,167
10,349,0.195832288,FALSE,349
4,262,0.163557065,FALSE,262
8,367,0.1192037,FALSE,367
8,366,0.124777542,FALSE,366
5,47,0.25833096,FALSE,47
6,13,0.189397441,FALSE,13
10,174,0.135536294,FALSE,174
2,229,0.111554802,FALSE,229
-1,279,0.143152043,FALSE,279
10,203,0.132281983,FALSE,203
6,104,0.19901753,FALSE,104
-1,292,0.143152043,FALSE,292
8,240,0.196413288,FALSE,240
6,302,0.16429901,FALSE,302
2,139,0.083345316,FALSE,139
2,39,0.083345316,FALSE,39
6,335,0.136734323,FALSE,335
10,156,0.111549465,FALSE,156
7,267,0.141176524,FALSE,267
-1,54,0.13757361,FALSE,54
2,222,0.140490064,FALSE,222
9,98,0.232531308,FALSE,98
-1,336,0.083345316,FALSE,336
11,288,0.106105676,FALSE,288
2,313,0.207062965,FALSE,313
11,254,0.127491155,FALSE,254
10,201,0.265119446,FALSE,201
4,177,0.309351083,FALSE,177
2,176,0.271918391,FALSE,176
10,55,0.11252063,FALSE,55
4,332,0.205222923,FALSE,332
10,269,0.158550001,FALSE,269
11,378,0.160052208,FALSE,378
-1,340,0.142783746,FALSE,340
3,147,0.142771681,FALSE,147
-1,296,0.142783746,FALSE,296
-1,141,0.089679858,FALSE,141
9,251,0.099793836,FALSE,251
8,264,0.142783746,FALSE,264
7,36,0.153038776,FALSE,36
-1,346,0.136902241,FALSE,346
-1,74,0.142771681,FALSE,74
-1,311,0.089679858,FALSE,311
4,181,0.1605565,FALSE,181
11,376,0.144482057,FALSE,376
6,328,0.157060047,FALSE,328
10,192,0.130567842,FALSE,192
8,297,0.130430338,FALSE,297
-1,20,0.142771681,FALSE,20
12,374,0.183114538,FALSE,374
-1,371,0.144897635,FALSE,371
11,330,0.158269136,FALSE,330
4,323,0.190474476,FALSE,323
1,274,0.132452318,FALSE,274
8,249,0.216461815,FALSE,249
9,164,0.200104189,FALSE,164
1,153,0.167224109,FALSE,153
1,152,0.089679858,FALSE,152
1,146,0.169263914,FALSE,146
11,61,0.162611457,FALSE,61
7,15,0.353774441,FALSE,15
1,5,0.45659747,FALSE,5
0,4,0.491300511,FALSE,4
3,184,0.120576787,FALSE,184
-1,149,0.079728554,FALSE,149
9,110,0.126038316,FALSE,110
7,220,0.102810492,FALSE,220
6,245,0.132725118,FALSE,245
3,45,0.191702423,FALSE,45
7,87,0.240838392,FALSE,87
7,85,0.228911197,FALSE,85
7,84,0.187048891,FALSE,84
8,301,0.121410482,FALSE,301
9,206,0.040927856,FALSE,206
10,71,0.112667746,FALSE,71
-1,117,0.055711267,FALSE,117
10,28,0.073237988,FALSE,28
-1,29,0.024343244,FALSE,29
9,193,0.06743271,FALSE,193
9,236,0.222122658,FALSE,236
10,275,0.105991073,FALSE,275
5,343,0.080660075,FALSE,343
4,8,0.160024434,FALSE,8
9,246,0.145669498,FALSE,246
9,151,0.044563494,FALSE,151
9,183,0.061809007,FALSE,183
9,48,0.014655711,FALSE,48
9,208,0.014655711,FALSE,208
9,225,0.111712868,FALSE,225
10,321,0.143344732,FALSE,321
8,119,0.174970866,FALSE,119
10,216,0.108050303,FALSE,216
8,145,0.123282881,FALSE,145
10,268,0.115435592,FALSE,268
5,136,0.068257161,FALSE,136
10,134,0.156012294,FALSE,134
6,133,0.144971866,FALSE,133
9,130,0.168809361,FALSE,130
8,213,0.075354013,FALSE,213
4,77,0.08686107,FALSE,77
12,318,0.077239204,FALSE,318
11,360,0.072162963,FALSE,360
6,350,0.144822358,FALSE,350
-1,226,0.042934716,FALSE,226
2,217,0.11496971,FALSE,217
6,27,0.124378797,FALSE,27
-1,261,0.058596127,FALSE,261
-1,238,0.119472289,FALSE,238
6,126,0.137627166,FALSE,126
8,298,0.087929852,FALSE,298
6,89,0.185280423,FALSE,89
8,83,0.133361586,FALSE,83
5,137,0.081364794,FALSE,137
7,64,0.076773791,FALSE,64
8,118,0.079450987,FALSE,118
8,49,0.080289584,FALSE,49
9,131,0.205544875,FALSE,131
-1,3,0.038683088,FALSE,3
5,214,0.162760301,FALSE,214
7,1,0.143627756,FALSE,1
6,2,0.054123392,FALSE,2
