,name,network,N,L,<k>,gamma,r,DMP_betac,LS,alphac,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
38,100000_13.0.edgelist,GKK model,78203,100000,2.56,3.0,0.0022,0.1635,0.9798,2.68,0.9658649240408798,0.7722950839132626,4.7043430660045065,0.9798358494847939,0.21667795443363014,0.5770119296450862
39,100000_13.1.edgelist,GKK model,79005,100000,2.53,3.1,-0.001,0.2005,0.8992,2.16,0.9775421381987467,0.7415054545767104,5.895769928815468,0.8991992806296636,0.23169595590329328,0.2883427772223963
40,100000_13.2.edgelist,GKK model,79656,100000,2.51,3.2,0.0003,0.2299,0.8220000000000001,1.74,0.9808006962689088,0.7126052735147436,6.157990190454824,0.8219939847874302,0.2031932922737633,0.1551525660991455
41,100000_13.3.edgelist,GKK model,80304,100000,2.49,3.3,-0.0074,0.2685,0.6786,1.32,0.9888634921661051,0.663927342007212,8.477204626976711,0.67858169322015,0.2408788686934126,0.039033922526369134
42,100000_13.4.edgelist,GKK model,80884,100000,2.47,3.4,0.0026,0.2774,0.772,1.34,0.985906882728564,0.6780070273572132,7.833724791253586,0.7720195740111176,0.22756281044512267,0.0957668694823317
43,100000_13.5.edgelist,GKK model,81390,100000,2.46,3.5,-0.0005,0.3082,0.6222,1.17,0.987964335784888,0.6294036470084972,9.305117268832456,0.6221950443142981,0.23240411463540392,0.021628890894019454
44,100000_13.6.edgelist,GKK model,81789,100000,2.45,3.6,0.0033,0.3223,0.6329,1.11,0.9902041004992285,0.6252411470378483,8.774379476863594,0.6328795675110189,0.20454406453414323,0.026338913479336812
45,100000_13.7.edgelist,GKK model,82045,100000,2.44,3.7,-0.0002,0.3392,0.6133,1.05,0.9908675754602593,0.6077180431236331,9.094283713270785,0.6132951093890152,0.20542338897727647,0.02665707388455966
46,100000_13.8.edgelist,GKK model,82637,100000,2.42,3.8,0.0007,0.35600000000000004,0.5437,1.0,0.9930956434048033,0.5854429146988784,10.884499459100631,0.5436562849832418,0.22982928208438014,0.00826834821744179
47,100000_13.9.edgelist,GKK model,82819,100000,2.41,3.9,-0.0023,0.3718,0.5233,0.92,0.994961511224346,0.5652036997158656,11.627825296785886,0.5232518961573522,0.23313527713099227,0.009540175975737171
48,100000_14.0.edgelist,GKK model,83041,100000,2.41,4.0,-0.0017,0.384,0.4924,0.89,0.9933724158314935,0.5524976761923371,12.108773159443466,0.49236008722159275,0.23111163544326155,0.0048774773863529556
