"infected_nodes","name","nb","selected","shared name"
"-1.0","355.0","0.120972333","false","355.0"
"13.0","348.0","0.146015894","false","348.0"
"-1.0","75.0","0.067196141","false","75.0"
"-1.0","73.0","0.077304788","false","73.0"
"-1.0","72.0","0.142656742","false","72.0"
"-1.0","183.0","0.100181157","false","183.0"
"7.0","21.0","0.321104503","false","21.0"
"-1.0","319.0","0.020733118","false","319.0"
"-1.0","250.0","0.051035502","false","250.0"
"-1.0","61.0","0.057123839","false","61.0"
"3.0","164.0","0.071181587","false","164.0"
"-1.0","217.0","0.030154789","false","217.0"
"-1.0","341.0","0.028686066","false","341.0"
"-1.0","71.0","0.102268954","false","71.0"
"-1.0","277.0","0.071255274","false","277.0"
"-1.0","93.0","0.065182092","false","93.0"
"13.0","351.0","0.128153904","false","351.0"
"-1.0","145.0","0.025497963","false","145.0"
"-1.0","106.0","0.13115518","false","106.0"
"-1.0","275.0","0.041124804","false","275.0"
"9.0","168.0","0.137418305","false","168.0"
"2.0","135.0","0.32739132","false","135.0"
"10.0","81.0","0.130123008","false","81.0"
"-1.0","221.0","0.043337424","false","221.0"
"-1.0","368.0","0.085746402","false","368.0"
"-1.0","375.0","0.04733331","false","375.0"
"-1.0","274.0","0.044908991","false","274.0"
"-1.0","220.0","0.070079733","false","220.0"
"-1.0","116.0","0.113988905","false","116.0"
"-1.0","324.0","0.06221813","false","324.0"
"-1.0","356.0","0.044528922","false","356.0"
"-1.0","349.0","0.163248621","false","349.0"
"2.0","104.0","0.105761456","false","104.0"
"8.0","33.0","0.147945544","false","33.0"
"-1.0","156.0","0.022312319","false","156.0"
"15.0","262.0","0.080452256","false","262.0"
"-1.0","89.0","0.131232564","false","89.0"
"-1.0","88.0","0.332794786","false","88.0"
"-1.0","363.0","0.040024546","false","363.0"
"4.0","239.0","0.172277719","false","239.0"
"-1.0","334.0","0.113074186","false","334.0"
"-1.0","24.0","0.179797009","false","24.0"
"-1.0","17.0","0.23086044","false","17.0"
"-1.0","18.0","0.166228759","false","18.0"
"-1.0","136.0","0.036901035","false","136.0"
"-1.0","92.0","0.134414743","false","92.0"
"2.0","303.0","0.361463567","false","303.0"
"-1.0","40.0","0.211635697","false","40.0"
"-1.0","352.0","0.090068446","false","352.0"
"-1.0","189.0","0.084788372","false","189.0"
"6.0","112.0","0.064360213","false","112.0"
"8.0","65.0","0.241601868","false","65.0"
"5.0","42.0","0.418253513","false","42.0"
"-1.0","23.0","0.265124232","false","23.0"
"-1.0","373.0","0.11102783","false","373.0"
"6.0","26.0","0.685471122","false","26.0"
"2.0","51.0","0.554983073","false","51.0"
"-1.0","100.0","0.402261966","false","100.0"
"11.0","85.0","0.330416037","false","85.0"
"-1.0","150.0","0.208516212","false","150.0"
"5.0","170.0","0.413001066","false","170.0"
"12.0","214.0","0.339641911","false","214.0"
"-1.0","374.0","0.111014486","false","374.0"
"-1.0","314.0","0.119725061","false","314.0"
"-1.0","298.0","0.112953527","false","298.0"
"-1.0","237.0","0.134323565","false","237.0"
"6.0","236.0","0.391106459","false","236.0"
"3.0","231.0","0.557087261","false","231.0"
"-1.0","204.0","0.14389135","false","204.0"
"-1.0","202.0","0.168527511","false","202.0"
"-1.0","177.0","0.33419734","false","177.0"
"-1.0","176.0","0.303287844","false","176.0"
"-1.0","83.0","0.262761886","false","83.0"
"8.0","69.0","0.292125031","false","69.0"
"1.0","169.0","0.466454728","false","169.0"
