"","infection_time","interaction","name","selected","shared interaction","shared name"
"596","-1","interacts with","242.0 (interacts with) 241.0","false","interacts with","242.0 (interacts with) 241.0"
"595","-1","interacts with","242.0 (interacts with) 235.0","false","interacts with","242.0 (interacts with) 235.0"
"592","-1","interacts with","223.0 (interacts with) 225.0","false","interacts with","223.0 (interacts with) 225.0"
"591","-1","interacts with","223.0 (interacts with) 222.0","false","interacts with","223.0 (interacts with) 222.0"
"590","-1","interacts with","223.0 (interacts with) 286.0","false","interacts with","223.0 (interacts with) 286.0"
"676","-1","interacts with","149.0 (interacts with) 293.0","false","interacts with","149.0 (interacts with) 293.0"
"675","-1","interacts with","149.0 (interacts with) 318.0","false","interacts with","149.0 (interacts with) 318.0"
"670","-1","interacts with","229.0 (interacts with) 328.0","false","interacts with","229.0 (interacts with) 328.0"
"657","-1","interacts with","257.0 (interacts with) 299.0","false","interacts with","257.0 (interacts with) 299.0"
"656","-1","interacts with","257.0 (interacts with) 240.0","false","interacts with","257.0 (interacts with) 240.0"
"655","-1","interacts with","257.0 (interacts with) 58.0","false","interacts with","257.0 (interacts with) 58.0"
"653","-1","interacts with","245.0 (interacts with) 99.0","false","interacts with","245.0 (interacts with) 99.0"
"652","-1","interacts with","245.0 (interacts with) 82.0","false","interacts with","245.0 (interacts with) 82.0"
"651","-1","interacts with","245.0 (interacts with) 110.0","false","interacts with","245.0 (interacts with) 110.0"
"650","-1","interacts with","245.0 (interacts with) 261.0","false","interacts with","245.0 (interacts with) 261.0"
"649","-1","interacts with","102.0 (interacts with) 349.0","false","interacts with","102.0 (interacts with) 349.0"
"648","-1","interacts with","102.0 (interacts with) 354.0","false","interacts with","102.0 (interacts with) 354.0"
"647","-1","interacts with","102.0 (interacts with) 361.0","false","interacts with","102.0 (interacts with) 361.0"
"646","-1","interacts with","102.0 (interacts with) 56.0","false","interacts with","102.0 (interacts with) 56.0"
"645","-1","interacts with","155.0 (interacts with) 239.0","false","interacts with","155.0 (interacts with) 239.0"
"644","-1","interacts with","155.0 (interacts with) 260.0","false","interacts with","155.0 (interacts with) 260.0"
"643","-1","interacts with","155.0 (interacts with) 186.0","false","interacts with","155.0 (interacts with) 186.0"
"642","-1","interacts with","155.0 (interacts with) 118.0","false","interacts with","155.0 (interacts with) 118.0"
"606","-1","interacts with","200.0 (interacts with) 157.0","false","interacts with","200.0 (interacts with) 157.0"
